# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
214 -0.544548 0.838728 -0.000843133 -35.3147 54.0733 24.6392 0
215 -0.544601 0.838694 -0.000843129 -35.3191 54.072 26.146 0
216 -0.544653 0.838661 -0.000843125 -35.3233 54.0708 27.6529 0
217 -0.544705 0.838628 -0.000843121 -35.3277 54.0694 29.1598 0
218 -0.544757 0.838594 -0.000843117 -35.332 54.0682 30.6667 0
219 -0.544809 0.83856 -0.000843112 -35.3364 54.0668 32.1736 0
220 -0.563053 0.826421 -0.00084966 -36.4261 53.2759 -32.6266 0
221 -0.563104 0.826385 -0.000849656 -36.4303 53.2745 -31.1197 0
222 -0.563156 0.82635 -0.000849652 -36.4346 53.2731 -29.6128 0
223 -0.563207 0.826315 -0.000849647 -36.4389 53.2718 -28.1059 0
224 -0.563258 0.82628 -0.000849644 -36.4432 53.2705 -26.599 0
225 -0.563309 0.826246 -0.00084964 -36.4474 53.269 -25.0921 0
226 -0.56336 0.826211 -0.000849636 -36.4517 53.2677 -23.5852 0
227 -0.563411 0.826177 -0.000849631 -36.456 53.2663 -22.0783 0
228 -0.563462 0.826141 -0.000849628 -36.4604 53.2649 -20.5714 0
229 -0.563513 0.826106 -0.000849623 -36.4646 53.2635 -19.0645 0
230 -0.563565 0.826071 -0.000849619 -36.4688 53.2622 -17.5576 0
231 -0.563616 0.826037 -0.000849615 -36.4732 53.2608 -16.0507 0
232 -0.563668 0.826002 -0.000849611 -36.4774 53.2594 -14.5438 0
233 -0.563719 0.825967 -0.000849607 -36.4817 53.2581 -13.0369 0
234 -0.56377 0.825932 -0.000849603 -36.4859 53.2567 -11.53 0
235 -0.563821 0.825897 -0.000849599 -36.4902 53.2554 -10.0231 0
236 -0.563872 0.825861 -0.000849594 -36.4945 53.254 -8.51613 0
237 -0.563922 0.825827 -0.000849592 -36.4988 53.2527 -7.00923 0
238 -0.563973 0.825792 -0.000849587 -36.503 53.2513 -5.50232 0
239 -0.564026 0.825757 -0.000849583 -36.5073 53.2499 -3.99542 0
240 -0.564077 0.825722 -0.000849578 -36.5117 53.2486 -2.48852 0
241 -0.564128 0.825687 -0.000849574 -36.5159 53.2472 -0.981619 0
242 -0.564179 0.825652 -0.000849571 -36.5202 53.2458 0.525286 0
243 -0.56423 0.825618 -0.000849567 -36.5244 53.2444 2.03219 0
244 -0.564281 0.825582 -0.000849563 -36.5287 53.2431 3.53909 0
245 -0.564332 0.825547 -0.000849558 -36.533 53.2416 5.04599 0
246 -0.564383 0.825512 -0.000849555 -36.5373 53.2403 6.55289 0
247 -0.564435 0.825477 -0.000849551 -36.5415 53.239 8.05981 0
248 -0.564486 0.825442 -0.000849546 -36.5457 53.2375 9.56671 0
249 -0.564537 0.825408 -0.000849542 -36.55 53.2362 11.0737 0
250 -0.564588 0.825373 -0.000850538 -36.5543 53.2348 12.5806 0
251 -0.564639 0.825338 -0.000850535 -36.5587 53.2334 14.0875 0
252 -0.56469 0.825302 -0.00085053 -36.5629 53.232 15.5944 0
253 -0.564741 0.825267 -0.000850526 -36.5672 53.2307 17.1012 0
254 -0.564792 0.825233 -0.000850522 -36.5715 53.2293 18.6081 0
255 -0.564843 0.825198 -0.000850518 -36.5758 53.2279 20.115 0
256 -0.564895 0.825163 -0.000850515 -36.58 53.2266 21.6219 0
257 -0.564947 0.825128 -0.00085051 -36.5842 53.2252 23.1288 0
258 -0.564998 0.825093 -0.000850506 -36.5885 53.2239 24.6357 0
259 -0.565048 0.825057 -0.000850501 -36.5928 53.2225 26.1426 0
